OBJECT_NAME,NORAD_CAT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
IRIDIUM 33,24946,PAYLOAD,2009-02-04 19:56:31.829279+00:00,14.34218851,0.0002241,86.3988,123.7705,82.7573,277.3877,1 24946U 97051C   09035.83092395 +.00000160 +00000-0 +50019-4 0  9999,2 24946 086.3988 123.7705 0002241 082.7573 277.3877 14.34218851596621
COSMOS 2251,22675,PAYLOAD,2009-02-04 22:54:43.947647+00:00,14.31135355,0.0016118,74.0355,27.7407,108.6256,251.6657,1 22675U 93036A   09035.95467532 -.00000028 +00000-0 -80821-6 0  9998,2 22675 074.0355 027.7407 0016118 108.6256 251.6657 14.31135355816761
IRIDIUM 33,24946,PAYLOAD,2009-02-05 09:20:15.809568+00:00,14.34218534,0.0002252,86.3989,123.5375,84.6873,275.4579,1 24946U 97051C   09036.38907187  .00000063  00000-0  15487-4 0  9996,2 24946 086.3989 123.5375 0002252 084.6873 275.4579 14.34218534596704
IRIDIUM 33,24946,PAYLOAD,2009-02-05 21:03:31.762079+00:00,14.34218813,0.0002283,86.399,123.3335,84.9743,275.1715,1 24946U 97051C   09036.87745095 +.00000111 +00000-0 +32631-4 0  9992,2 24946 086.3990 123.3335 0002283 084.9743 275.1715 14.34218813596779
COSMOS 2251,22675,PAYLOAD,2009-02-05 22:23:58.167167+00:00,14.31135117,0.0016099,74.0354,25.9581,106.4347,253.8581,1 22675U 93036A   09036.93331212 -.00000047  00000-0 -81496-5 0  9991,2 22675 074.0354 025.9581 0016099 106.4347 253.8581 14.31135117816900
IRIDIUM 33,24946,PAYLOAD,2009-02-06 18:49:35.657472+00:00,14.34218976,0.0002265,86.3993,122.9552,85.4641,274.6808,1 24946U 97051C   09037.78444048  .00000106  00000-0  30852-4 0  9994,2 24946 086.3993 122.9552 0002265 085.4641 274.6808 14.34218976596903
COSMOS 2251,22675,PAYLOAD,2009-02-06 21:53:12.354719+00:00,14.31135215,0.0016095,74.0355,24.1758,104.446,255.8485,1 22675U 93036A   09037.91194855 -.00000031 +00000-0 -21372-5 0  9990,2 22675 074.0355 024.1758 0016095 104.4460 255.8485 14.31135215817048
COSMOS 2251,22675,PAYLOAD,2009-02-07 02:55:11.096543+00:00,14.31135293,0.0016083,74.0359,23.7939,103.9527,256.3415,1 22675U 93036A   09038.12165621 -.00000023  00000-0  11594-5 0  9998,2 22675 074.0359 023.7939 0016083 103.9527 256.3415 14.31135293817071
IRIDIUM 33,24946,PAYLOAD,2009-02-07 11:34:15.594815+00:00,14.34219027,0.0002219,86.3996,122.6644,83.8995,276.2452,1 24946U 97051C   09038.48212494  .00000086  00000-0  23804-4 0  9996,2 24946 086.3996 122.6644 0002219 083.8995 276.2452 14.34219027597001
COSMOS 2251,22675,PAYLOAD,2009-02-07 21:22:26.515488+00:00,14.31135381,0.0016068,74.0354,22.3935,102.2399,258.0553,1 22675U 93036A   09038.89058467 -.00000013 +00000-0 +49305-5 0  9991,2 22675 074.0354 022.3935 0016068 102.2399 258.0553 14.31135381817181
